Location ID,Location,Temp,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,Month
1803,Maryland CD 3. Lower Southern,5.055555556,118,6.3,34.8,1
1804,Maryland CD 4. Upper Southern,4.722222222,118,6.6,33.9,1
1805,Maryland CD 5. Northeastern Shore,4,116,6.1,33.1,1
1806,Maryland CD 6. North Central,3.222222222,117,6.8,31,1
1807,Maryland CD 7. Appalachian Mountains,2.333333333,117,6.7,29.5,1
1808,Maryland CD 8. Allegheny Plateau,0.555555556,117,7.1,25.9,1
1901,Massachusetts CD 1. West,-1.944444444,119,7.9,20.6,1
1902,Massachusetts CD 2. Central,-0.166666667,122,8.4,23.3,1
1903,Massachusetts CD 3. Coastal,1.555555556,118,6.9,27.9,1
2001,Michigan CD 1. West Upper,-6.777777778,122,8.5,11.3,1
2002,Michigan CD 2. East Upper,-4.666666667,123,8.6,15,1
2003,Michigan CD 3. Northwest Lower,-2.722222222,124,8.9,18.2,1
2004,Michigan CD 4. Northeast Lower,-3.111111111,124,9.3,17.1,1
2005,Michigan CD 5. West Central Lower,-1.944444444,122,7.8,20.7,1
2006,Michigan CD 6. Central Lower,-2,122,9,19.4,1
2007,Michigan CD 7. East Central Lower,-1.111111111,123,9.5,20.5,1
2008,Michigan CD 8. Southwest Lower,-0.555555556,122,8.1,22.9,1
2009,Michigan CD 9. South Central Lower,-1,122,8.5,21.7,1
2010,Michigan CD 10. Southeast Lower,-0.444444444,122,9.1,22.1,1
2101,Minnesota CD 1. Northwest,-12.44444444,102,7.6,2,1
2102,Minnesota CD 2. North Central,-11.61111111,109,8.6,2.5,1
2103,Minnesota CD 3. Northeast,-11.05555556,115,8.6,3.5,1
2104,Minnesota CD 4. West Central,-10,96,6.4,7.6,1
2105,Minnesota CD 5. Central,-9,103,7.2,8.6,1
2106,Minnesota CD 6. East Central,-9,115,8.4,7.4,1
2107,Minnesota CD 7. Southwest,-8.444444444,93,5.1,11.7,1
2108,Minnesota CD 8. South Central,-7.5,103,6.4,12.1,1
2109,Minnesota CD 9. Southeast,-6.611111111,113,7.9,12.2,1
2201,Mississippi CD 1. Upper Delta,8.5,114,5.4,41.9,1
2202,Mississippi CD 2. North Central,8.111111111,108,5.2,41.4,1
2203,Mississippi CD 3. Northeast,8.166666667,115,6,40.7,1
2204,Mississippi CD 4. Lower Delta,9.666666667,109,5,44.4,1
2205,Mississippi CD 5. Central,9.666666667,108,4.8,44.6,1
2206,Mississippi CD 6. East Central,9.444444444,112,5.2,43.8,1
2207,Mississippi CD 7. Southwest,11.33333333,109,4.8,47.6,1
2208,Mississippi CD 8. South Central,11.33333333,105,4.4,48,1
2209,Mississippi CD 9. Southeast,10.94444444,108,4.4,47.3,1
2210,Mississippi CD 10. Coastal,12.33333333,105,4,50.2,1
2301,Missouri CD 1. Northwest Prairie,-1.277777778,103,4.7,25,1
2302,Missouri CD 2. Northeast Prairie,0,110,5.1,26.9,1
2303,Missouri CD 3. West Central Plains,1.722222222,112,5.3,29.8,1
2304,Missouri CD 4. West Ozarks,3.166666667,112,5.2,32.5,1
2305,Missouri CD 5. East Ozarks,2.888888889,110,5.3,31.9,1
2306,Missouri CD 6. Bootheel,4.833333333,110,5.6,35.1,1
2401,Montana CD 1. Western,-2.555555556,117,7.5,19.9,1
2402,Montana CD 2. Southwestern,-4.388888889,112,6.2,17.9,1
2403,Montana CD 3. North Central,-6.444444444,84,5.7,14.7,1
2404,Montana CD 4. Central,-3.388888889,95,6.5,19.4,1
2405,Montana CD 5. South Central,-2.666666667,113,7.3,19.9,1
2406,Montana CD 6. Northeastern,-8.277777778,92,6.8,10.3,1
2407,Montana CD 7. Southeastern,-4.833333333,100,7.2,16.1,1
2501,Nebraska CD 1. Panhandle,-1.111111111,117,6.7,23.3,1
2502,Nebraska CD 2. North Central,-3.388888889,98,5,20.9,1
2503,Nebraska CD 3. Northeast,-5.111111111,88,4.1,18.7,1
2505,Nebraska CD 5. Central,-3.055555556,93,4.5,22,1
2506,Nebraska CD 6. East Central,-3.722222222,94,4,21.3,1
2507,Nebraska CD 7. Southwest,-0.555555556,115,6.2,24.8,1
2508,Nebraska CD 8. South Central,-1.944444444,93,4.5,24,1
2509,Nebraska CD 9. Southeast,-2.666666667,96,4,23.2,1
2601,Nevada CD 1. Northwestern,1.944444444,116,5.9,29.6,1
2602,Nevada CD 2. Northeastern,-0.666666667,114,5.4,25.4,1
2603,Nevada CD 3. South Central,2.444444444,117,5.4,31,1
2604,Nevada CD 4. Extreme Southern,8.166666667,101,3,43.7,1
2701,New Hampshire CD 1. North,-5.777777778,119,8.4,13.2,1
2702,New Hampshire CD 2. South,-2.888888889,119,7.7,19.1,1
2801,New Jersey CD 1. Northern,1.5,120,8,26.7,1
2802,New Jersey CD 2. Southern,3.722222222,119,7.4,31.3,1
2803,New Jersey CD 3. Coastal,4.166666667,119,7.3,32.2,1
2901,New Mexico CD 1. Northwestern Plateau,-0.888888889,92,3,27.4,1
2902,New Mexico CD 2. Northern Mountains,-1.388888889,92,2.7,26.8,1
2903,New Mexico CD 3. Northeastern Plains,3.555555556,104,3.8,34.6,1
2904,New Mexico CD 4. Southwestern Mountains,1.055555556,100,3.1,30.8,1
2905,New Mexico CD 5. Central Valley,3.777777778,101,2.8,36,1
2906,New Mexico CD 6. Central Highlands,2.222222222,107,3.7,32.3,1
2907,New Mexico CD 7. Southeastern Plains,6.388888889,113,4.8,38.7,1
2908,New Mexico CD 8. Southern Desert,6.222222222,103,2.8,40.4,1
3001,New York CD 1. Western Plateau,-1.722222222,117,7.3,21.6,1
3002,New York CD 2. Eastern Plateau,-2.222222222,117,7.2,20.8,1
3003,New York CD 3. Northern Plateau,-5.222222222,117,8.6,14,1
3004,New York CD 4. Coastal,3.055555556,119,7.5,30,1
3005,New York CD 5. Hudson Valley,-0.555555556,119,8.3,22.7,1
3006,New York CD 6. Mohawk Valley,-3,117,7.6,19,1
3007,New York CD 7. Champlain Valley,-4.666666667,117,8.1,15.5,1
3008,New York CD 8. St. Lawrence Valley,-4.666666667,119,9.5,14.1,1
3009,New York CD 9. Great Lakes,-1.444444444,120,7.9,21.5,1
3010,New York CD 10. Central Lakes,-1.388888889,117,7.5,22,1
3101,North Carolina CD 1. Southern Mountains,4.611111111,108,4.5,35.8,1
3102,North Carolina CD 2. Northern Mountains,4.777777778,113,5.7,34.9,1
3103,North Carolina CD 3. Northern Piedmont,6.666666667,116,5.8,38.2,1
3104,North Carolina CD 4. Central Piedmont,7.333333333,116,5.9,39.3,1
3105,North Carolina CD 5. Southern Piedmont,8.277777778,116,6,40.9,1
3106,North Carolina CD 6. Southern Coastal Plain,10,119,6.3,43.7,1
3107,North Carolina CD 7. Central Coastal Plain,9.777777778,120,6.6,43,1
3108,North Carolina CD 8. Northern Coastal Plain,8.666666667,120,6.9,40.7,1
3201,North Dakota CD 1. Northwest,-11,95,6.6,5.6,1
3202,North Dakota CD 2. North Central,-11.94444444,102,7.3,3.2,1
3203,North Dakota CD 3. Northeast,-12.72222222,100,7.4,1.7,1
3204,North Dakota CD 4. West Central,-9.388888889,94,6.5,8.6,1
3205,North Dakota CD 5. Central,-11.33333333,98,6.4,5.2,1
3206,North Dakota CD 6. East Central,-11.83333333,94,6.1,4.6,1
3207,North Dakota CD 7. Southwest,-7.388888889,96,6.7,12,1
3208,North Dakota CD 8. South Central,-9.666666667,92,5.8,8.8,1
3209,North Dakota CD 9. Southeast,-10.83333333,90,5.2,7.3,1
3301,Ohio CD 1. Northwest,0.444444444,118,8.1,24.7,1
3302,Ohio CD 2. North Central,1.055555556,120,8.4,25.5,1
3303,Ohio CD 3. Northeast,1,121,9,24.8,1
3304,Ohio CD 4. West Central,1.111111111,120,8.2,25.8,1
3305,Ohio CD 5. Central,1.722222222,121,8.1,27,1
3306,Ohio CD 6. Central Hills,1.277777778,121,8.8,25.5,1
3307,Ohio CD 7. Northeast Hills,1.333333333,118,8.2,26.2,1
3308,Ohio CD 8. Southwest,2.444444444,120,7.9,28.5,1
3309,Ohio CD 9. South Central,3.166666667,117,7.2,30.5,1
3310,Ohio CD 10. Southeast,2.333333333,117,7.6,28.6,1
3401,Oklahoma CD 1. Panhandle,3.333333333,112,4.9,33.1,1
3402,Oklahoma CD 2. North Central,4.166666667,115,6.1,33.4,1
3403,Oklahoma CD 3. Northeast,4.722222222,117,5.7,34.8,1
3404,Oklahoma CD 4. West Central,5.333333333,118,6.4,35.2,1
3405,Oklahoma CD 5. Central,6,118,6.2,36.6,1
3406,Oklahoma CD 6. East Central,6.166666667,115,5,38.1,1
3407,Oklahoma CD 7. Southwest,6.777777778,120,6.3,37.9,1
3408,Oklahoma CD 8. South Central,7.444444444,118,5.5,39.9,1
3409,Oklahoma CD 9. Southeast,7.333333333,117,5.3,39.9,1
3501,Oregon CD 1. Coastal Area,6.277777778,104,3.2,40.1,1
3502,Oregon CD 2. Willamette Valley,5.888888889,118,4.7,37.9,1
3503,Oregon CD 3. Southwestern Valleys,4,99,2.8,36.4,1
3504,Oregon CD 4. Northern Cascades,1.777777778,102,3.5,31.7,1
3505,Oregon CD 5. High Plateau,-0.833333333,98,3.6,26.9,1
3506,Oregon CD 6. North Central,3,116,7.3,30.1,1
3507,Oregon CD 7. South Central,-0.055555556,104,4.6,27.3,1
3508,Oregon CD 8. Northeast,-0.888888889,112,5.4,25,1
3509,Oregon CD 9. Southeast,0.333333333,112,6.1,26.5,1
3601,Pennsylvania CD 1. Pocono Mountains,-1.166666667,118,7.3,22.6,1
3602,Pennsylvania CD 2. East Central Mountains,0.277777778,118,7.2,25.3,1
3603,Pennsylvania CD 3. Southeastern Piedmont,2.111111111,119,7.2,28.6,1
3604,Pennsylvania CD 4. Lower Susquehanna,1.833333333,117,6.8,28.5,1
3605,Pennsylvania CD 5. Middle Susquehanna,0.055555556,116,6.5,25.6,1
3606,Pennsylvania CD 6. Upper Susquehanna,-1.444444444,117,7.2,22.2,1
3607,Pennsylvania CD 7. Central Mountains,-1,113,6.1,24.1,1
3608,Pennsylvania CD 8. South Central Mountains,0.888888889,117,7,26.6,1
3609,Pennsylvania CD 9. Southwest Plateau,0.944444444,116,6.8,26.9,1
3610,Pennsylvania CD 10. Northwest Plateau,-1,116,7.1,23.1,1
3701,Rhode Island CD 1. Rhode Island (Entire State),1.833333333,122,8.1,27.2,1
3801,South Carolina CD 1. Mountain,6.944444444,110,4.4,40.1,1
3802,South Carolina CD 2. Northwest,8.111111111,114,5.1,41.5,1
3803,South Carolina CD 3. North Central,8.722222222,114,5.5,42.2,1
3804,South Carolina CD 4. Northeast,10.66666667,116,6.1,45.1,1
3805,South Carolina CD 5. West Central,10,117,6.2,43.8,1
3806,South Carolina CD 6. Central,10.66666667,114,5.8,45.4,1
3807,South Carolina CD 7. Southern,11.83333333,113,5.6,47.7,1
3901,South Dakota CD 1. Northwest,-6,93,5.8,15.4,1
3902,South Dakota CD 2. North Central,-9.166666667,81,4.2,11.3,1
3903,South Dakota CD 3. Northeast,-10.38888889,86,4.5,8.8,1
3904,South Dakota CD 4. Black Hills,-2.611111111,105,6.3,21,1
3905,South Dakota CD 5. Southwest,-2.888888889,104,6.7,20.1,1
3906,South Dakota CD 6. Central,-6.666666667,88,4.8,15.2,1
3907,South Dakota CD 7. East Central,-9.277777778,81,4,11.3,1
3908,South Dakota CD 8. South Central,-4.111111111,96,5.3,19.3,1
3909,South Dakota CD 9. Southeast,-6.944444444,84,4,15.5,1
4001,Tennessee CD 1. Eastern,5.833333333,113,5.4,37.1,1
4002,Tennessee CD 2. Cumberland Plateau,5.777777778,114,6.1,36.3,1
4003,Tennessee CD 3. Middle,6.333333333,112,5.9,37.5,1
4004,Tennessee CD 4. Western,6.388888889,113,5.8,37.7,1
4101,Texas CD 1. High Plains,5.611111111,114,4.8,37.3,1
4102,Texas CD 2. Low Rolling Plains,8.333333333,119,6.1,40.9,1
4103,Texas CD 3. North Central,9.833333333,117,5.9,43.8,1
4104,Texas CD 4. East Texas,10.72222222,109,4.4,46.9,1
4105,Texas CD 5. Trans Pecos,9,106,3.7,44.5,1
4106,Texas CD 6. Edwards Plateau,10.88888889,116,5.3,46.3,1
4107,Texas CD 7. South Central,14.22222222,118,6.2,51.4,1
4108,Texas CD 8. Upper Coast,14.72222222,118,6.1,52.4,1
4109,Texas CD 9. South,16,121,6.5,54.3,1
4110,Texas CD 10. Lower Valley,18.94444444,123,6.9,59.2,1
4201,Utah CD 1. Western,0.111111111,112,5.6,26.6,1
4202,Utah CD 2. Dixie,5.5,107,3.7,38.2,1
4203,Utah CD 3. North Central,-1,103,4.7,25.5,1
4204,Utah CD 4. South Central,-1.5,96,3.3,26,1
4205,Utah CD 5. Northern Mountains,-4.555555556,94,3.6,20.2,1
4206,Utah CD 6. Uinta Basin,-6.222222222,76,2,18.8,1
4207,Utah CD 7. Southeast,-2,71,1.2,27.2,1
4301,Vermont CD 1. Northeastern,-5.777777778,117,8.1,13.5,1
4302,Vermont CD 2. Western,-4.222222222,117,8,16.4,1
4303,Vermont CD 3. Southeastern,-3.555555556,117,8.2,17.4,1
4401,Virginia CD 1. Tidewater,6.444444444,116,5.5,38.1,1
4402,Virginia CD 2. Eastern Piedmont,5.5,115,5.5,36.4,1
4403,Virginia CD 3. Western Piedmont,5,115,5.5,35.5,1
4404,Virginia CD 4. Northern,3.722222222,116,6.8,31.9,1
4405,Virginia CD 5. Central Mountain,3.166666667,116,5.8,31.9,1
4406,Virginia CD 6. Southwestern Mountain,3.888888889,114,6,33,1
4501,Washington CD 1. West Olympic Coast,5.055555556,110,4,37.1,1
4502,Washington CD 2. North East Olympic San Juan,5.611111111,109,4,38.1,1
4503,Washington CD 3. Puget Sound Lowlands,5.444444444,110,4,37.8,1
4504,Washington CD 4. East Olympic Cascade Foothills,3.722222222,108,4,34.7,1
4505,Washington CD 5. Cascade Mountains West,-0.222222222,103,4.1,27.5,1
4506,Washington CD 6. East Slope Cascades,-1.722222222,106,5.4,23.5,1
4507,Washington CD 7. Okanogan Big Bend,-1.055555556,111,6.5,23.6,1
4508,Washington CD 8. Central Basin,2.5,115,8.3,28.2,1
4509,Washington CD 9. Northeastern,-2,111,6.6,21.8,1
4510,Washington CD 10. Palouse Blue Mountains,1.944444444,119,7.5,28,1
4601,West Virginia CD 1. Northwestern,2.722222222,117,7.2,29.7,1
4602,West Virginia CD 2. North Central,3.388888889,117,7.6,30.5,1
4603,West Virginia CD 3. Southwestern,4.444444444,114,6.8,33.2,1
4604,West Virginia CD 4. Central,1.611111111,114,6.4,28.5,1
4605,West Virginia CD 5. Southern,3.055555556,111,5.5,32,1
4606,West Virginia CD 6. Northeastern,2.5,115,6.7,29.8,1
4701,Wisconsin CD 1. Northwest,-7.777777778,120,9.4,8.6,1
4702,Wisconsin CD 2. North Central,-7.5,122,8.9,9.6,1
4703,Wisconsin CD 3. Northeast,-5.888888889,123,9.7,11.7,1
4704,Wisconsin CD 4. West Central,-6.5,115,8.5,11.8,1
4705,Wisconsin CD 5. Central,-5.111111111,122,9.4,13.4,1
4706,Wisconsin CD 6. East Central,-3.611111111,123,9.9,15.6,1
4707,Wisconsin CD 7. Southwest,-4.388888889,117,8.3,15.8,1
4708,Wisconsin CD 8. South Central,-3.555555556,120,8.7,16.9,1
4709,Wisconsin CD 9. Southeast,-2.722222222,121,8.7,18.4,1
4801,Wyoming CD 1. Yellowstone Drainage,-5.833333333,118,6.3,15.2,1
4802,Wyoming CD 2. Snake Drainage,-6.666666667,119,5.3,14.7,1
4803,Wyoming CD 3. Green and Bear Drainage,-7.166666667,88,2.9,16.2,1
4804,Wyoming CD 4. Big Horn,-3.5,119,8,17.7,1
4805,"Wyoming CD 5. Powder, Little Mo and Tongue Drainages",-3,115,7,19.6,1
4806,Wyoming CD 6. Belle Fourche Drainage,-3.333333333,110,7,19,1
4807,Wyoming CD 7. Cheyenne Niobrara Drainage,-3,111,6.3,20.3,1
4808,Wyoming CD 8. Lower Platte,-1.833333333,114,5.9,22.8,1
4809,Wyoming CD 9. Wind River,-5.555555556,99,4.7,17.3,1
4810,Wyoming CD 10. Upper Platte,-5.444444444,98,3.9,18.3,1
101,Alabama CD 1. Northern Valley,7.555555556,112,5.5,40.1,2
102,Alabama CD 2. Appalachian Mountain,7.888888889,111,5.1,41.1,2
103,Alabama CD 3. Upper Plains,9.111111111,111,5,43.4,2
104,Alabama CD 4. Eastern Valley,8.722222222,111,5,42.7,2
105,Alabama CD 5. Piedmont Plateau,9.055555556,109,4.3,44,2
106,Alabama CD 6. Prairie,10.27777778,107,4.2,46.3,2
107,Alabama CD 7. Coastal Plain,11.5,104,4.3,48.4,2
108,Alabama CD 8. Gulf,12.61111111,105,3.9,50.8,2
201,Arizona CD 1. Northwest,7.611111111,105,3.4,42.3,2
202,Arizona CD 2. Northeast,1.277777778,102,3.4,30.9,2
203,Arizona CD 3. North Central,6.833333333,107,3.4,40.9,2
204,Arizona CD 4. East Central,7.111111111,112,3.9,40.9,2
205,Arizona CD 5. Southwest,12.61111111,101,2.6,52.1,2
206,Arizona CD 6. South Central,11.5,96,2.4,50.3,2
207,Arizona CD 7. Southeast,8.777777778,100,2.5,45.3,2
301,Arkansas CD 1. Northwest,4.277777778,109,4.7,35,2
302,Arkansas CD 2. North Central,4.611111111,108,4.7,35.6,2
303,Arkansas CD 3. Northeast,5.777777778,109,5.3,37.1,2
304,Arkansas CD 4. West Central,5.944444444,109,4.5,38.2,2
305,Arkansas CD 5. Central,6.611111111,105,3.7,40.2,2
306,Arkansas CD 6. East Central,7.444444444,113,5.3,40.1,2
307,Arkansas CD 7. Southwest,7.833333333,111,4.3,41.8,2
308,Arkansas CD 8. South Central,8.222222222,107,4,42.8,2
309,Arkansas CD 9. Southeast,8.5,110,4.7,42.6,2
401,California CD 1. North Coast Drainage,5.277777778,99,2.5,39,2
402,California CD 2. Sacramento Drainage,5.166666667,96,2.7,38.6,2
403,California CD 3. Northeast Interior Basins,0.833333333,117,5.3,28.2,2
404,California CD 4. Central Coast Drainage,9.333333333,95,2.1,46.7,2
405,California CD 5. San Joaquin Drainage,6.666666667,99,2.5,41.5,2
406,California CD 6. South Coast Drainage,11.16666667,110,3.4,48.7,2
407,California CD 7. Southeast Desert Basins,9.722222222,113,3.6,45.9,2
501,Colorado CD 1. Arkansas Drainage,0.333333333,108,4.3,28.3,2
502,Colorado CD 2. Colorado Drainage,-5.055555556,87,2.3,20.6,2
503,Colorado CD 3. Kansas Drainage,0.833333333,122,6.9,26.6,2
504,Colorado CD 4. Platte Drainage,-1.444444444,114,5.4,24,2
505,Colorado CD 5. Rio Grande Drainage,-6.888888889,72,1.3,18.3,2
601,Connecticut CD 1. Northwest,-0.944444444,119,7.6,22.7,2
602,Connecticut CD 2. Central,0.722222222,120,7.9,25.4,2
603,Connecticut CD 3. Coastal,2.055555556,120,7.7,28,2
701,Delaware CD 1. Northern,3.388888889,116,6.7,31.4,2
702,Delaware CD 2. Southern,4.944444444,118,6.9,34,2
801,Florida CD 1. Northwest,13.61111111,110,5,51.5,2
802,Florida CD 2. North,14.61111111,109,4.3,54,2
803,Florida CD 3. North Central,16.66666667,107,3.8,58.2,2
804,Florida CD 4. South Central,17.88888889,107,3.3,60.9,2
805,Florida CD 5. Everglades and Southwest Coast,19.66666667,108,3.2,64.2,2
806,Florida CD 6. Lower East Coast,20.66666667,110,3.7,65.5,2
