province,temperature,month
British Columbia,-9,1
British Columbia,-6,1
British Columbia,-9,1
British Columbia,-7,1
British Columbia,3,1
British Columbia,3,1
British Columbia,2,1
British Columbia,,1
British Columbia,-2,1
British Columbia,-2,1
British Columbia,2,1
British Columbia,4,1
British Columbia,6,1
British Columbia,4,1
British Columbia,4,1
British Columbia,2,1
British Columbia,-1,1
British Columbia,,1
British Columbia,4,1
British Columbia,6,1
British Columbia,,1
British Columbia,4,1
British Columbia,5,1
British Columbia,5,1
British Columbia,3,1
British Columbia,4,1
British Columbia,4,1
British Columbia,7,1
British Columbia,4,1
British Columbia,-6,1
British Columbia,5,1
British Columbia,1,1
British Columbia,1,1
British Columbia,-2,1
British Columbia,-2,1
British Columbia,-1,1
British Columbia,-1,1
British Columbia,-4,1
British Columbia,-2,1
British Columbia,-2,1
British Columbia,-2,1
British Columbia,-2,1
British Columbia,0,1
British Columbia,-17,1
British Columbia,-17,1
British Columbia,,1
British Columbia,-4,1
British Columbia,-5,1
British Columbia,-3,1
British Columbia,-3,1
British Columbia,-7,1
British Columbia,-6,1
British Columbia,,1
British Columbia,-2,1
British Columbia,-2,1
British Columbia,-1,1
British Columbia,1,1
British Columbia,-1,1
British Columbia,-2,1
British Columbia,-2,1
British Columbia,-1,1
British Columbia,-1,1
British Columbia,0,1
British Columbia,-1,1
British Columbia,0,1
British Columbia,-2,1
British Columbia,-4,1
British Columbia,-5,1
British Columbia,-4,1
British Columbia,-6,1
British Columbia,-6,1
British Columbia,-6,1
British Columbia,-5,1
British Columbia,-5,1
British Columbia,-5,1
British Columbia,-3,1
British Columbia,-2,1
British Columbia,-8,1
British Columbia,-8,1
British Columbia,-8,1
British Columbia,-6,1
British Columbia,-8,1
British Columbia,-7,1
British Columbia,-7,1
British Columbia,-3,1
British Columbia,-2,1
British Columbia,-7,1
British Columbia,-7,1
British Columbia,-3,1
British Columbia,-9,1
British Columbia,-4,1
British Columbia,-3,1
British Columbia,-3,1
British Columbia,-5,1
British Columbia,-10,1
British Columbia,-7,1
British Columbia,-7,1
British Columbia,-7,1
British Columbia,-5,1
British Columbia,-3,1
British Columbia,-3,1
British Columbia,-9,1
British Columbia,-16,1
British Columbia,-16,1
British Columbia,-16,1
British Columbia,-16,1
British Columbia,-8,1
British Columbia,-11,1
British Columbia,-18,1
British Columbia,-23,1
British Columbia,-23,1
British Columbia,-18,1
British Columbia,-15,1
British Columbia,-11,1
Yukon,-32,1
Yukon,-27,1
Yukon,-27,1
Yukon,-29,1
Yukon,-31,1
Yukon,-26,1
Yukon,-26,1
Yukon,-12,1
Yukon,-26,1
Yukon,-28,1
Yukon,-22,1
Yukon,-29,1
Yukon,-31,1
Yukon,-31,1
Yukon,-33,1
Yukon,-33,1
Yukon,-22,1
Yukon,-26,1
Yukon,-26,1
Yukon,-31,1
Yukon,-25,1
Yukon,-20,1
Yukon,-20,1
Yukon,-26,1
Yukon,-26,1
Yukon,-26,1
Yukon,-22,1
Yukon,-22,1
Northwest Territories,-29,1
Northwest Territories,-26,1
Northwest Territories,-29,1
Northwest Territories,-29,1
Northwest Territories,-27,1
Northwest Territories,-27,1
Northwest Territories,-28,1
Northwest Territories,-31,1
Northwest Territories,-30,1
Northwest Territories,-26,1
Northwest Territories,-27,1
Northwest Territories,-30,1
Northwest Territories,-28,1
Northwest Territories,-25,1
Northwest Territories,-24,1
Northwest Territories,-23,1
Northwest Territories,-27,1
Northwest Territories,-27,1
Northwest Territories,-27,1
Northwest Territories,-21,1
Northwest Territories,-21,1
Northwest Territories,-21,1
Northwest Territories,-23,1
Northwest Territories,-23,1
Northwest Territories,-23,1
Northwest Territories,,1
Northwest Territories,-28,1
Northwest Territories,-27,1
Northwest Territories,-28,1
Northwest Territories,-24,1
Northwest Territories,-29,1
Northwest Territories,-28,1
Northwest Territories,-25,1
Northwest Territories,-24,1
Northwest Territories,-26,1
Northwest Territories,-30,1
Northwest Territories,-29,1
Northwest Territories,-29,1
Northwest Territories,-27,1
Northwest Territories,-27,1
Northwest Territories,-25,1
Northwest Territories,-28,1
Northwest Territories,-29,1
Northwest Territories,-27,1
Northwest Territories,-3,1
Northwest Territories,-26,1
Northwest Territories,-31,1
Northwest Territories,-26,1
Northwest Territories,-28,1
Northwest Territories,-27,1
Nunavut,-23,1
Nunavut,-27,1
Nunavut,-26,1
Nunavut,-27,1
Nunavut,-24,1
Nunavut,-29,1
Nunavut,-26,1
Nunavut,-26,1
Nunavut,-26,1
Nunavut,-28,1
Nunavut,-27,1
Nunavut,-27,1
Nunavut,-33,1
Nunavut,-24,1
Nunavut,-30,1
Nunavut,-31,1
Nunavut,-29,1
Nunavut,-29,1
Nunavut,-26,1
Nunavut,-28,1
Nunavut,-19,1
Nunavut,-18,1
Nunavut,-32,1
Nunavut,-26,1
Nunavut,-27,1
Nunavut,-34,1
Nunavut,,1
Nunavut,-32,1
Nunavut,-33,1
Nunavut,-27,1
Nunavut,-27,1
Nunavut,-29,1
Nunavut,-29,1
Nunavut,-29,1
Nunavut,-22,1
Nunavut,-22,1
Nunavut,-28,1
Nunavut,-29,1
Nunavut,-28,1
Nunavut,-29,1
Nunavut,-29,1
Nunavut,-39,1
Nunavut,-39,1
Nunavut,-28,1
Nunavut,-31,1
Nunavut,-33,1
Nunavut,-31,1
Nunavut,-31,1
Nunavut,-32,1
Nunavut,-30,1
Nunavut,-27,1
Nunavut,-26,1
Nunavut,-34,1
Nunavut,-23,1
Nunavut,-28,1
Nunavut,-28,1
Nunavut,-36,1
Nunavut,-34,1
Nunavut,-29,1
Nunavut,-28,1
Nunavut,-32,1
Nunavut,-32,1
Nunavut,-33,1
Nunavut,-29,1
Nunavut,-32,1
Nunavut,-35,1
Nunavut,-32,1
Nunavut,-31,1
Nunavut,-27,1
Northwest Territories,-28,1
Northwest Territories,-27,1
Northwest Territories,-27,1
Northwest Territories,-27,1
Northwest Territories,-27,1
Northwest Territories,-34,1
Northwest Territories,-33,1
Alberta,-17,1
Alberta,-16,1
Alberta,-13,1
Alberta,-16,1
Alberta,-13,1
Alberta,-13,1
Alberta,-12,1
Alberta,-16,1
Alberta,-13,1
Alberta,-14,1
Alberta,-13,1
Alberta,-14,1
Alberta,-12,1
Alberta,-12,1
Alberta,-16,1
Alberta,-14,1
Alberta,-15,1
Alberta,-12,1
Alberta,-14,1
Alberta,-16,1
Alberta,-12,1
Alberta,-15,1
Alberta,-12,1
Alberta,-15,1
Alberta,-16,1
Alberta,-14,1
Alberta,-14,1
Alberta,-13,1
Alberta,-14,1
Alberta,-12,1
Alberta,-13,1
Alberta,-11,1
Alberta,-15,1
Alberta,-13,1
Alberta,-14,1
Alberta,-13,1
Alberta,-13,1
Alberta,-15,1
Alberta,-14,1
Alberta,-14,1
Alberta,-13,1
Alberta,-15,1
Alberta,-13,1
Alberta,-15,1
Alberta,-16,1
Alberta,-15,1
Alberta,-15,1
Alberta,-14,1
Alberta,,1
Alberta,-14,1
Alberta,-14,1
Alberta,-14,1
Alberta,-16,1
Alberta,-16,1
Alberta,-15,1
Alberta,-14,1
Alberta,-16,1
Alberta,-13,1
Alberta,-14,1
Alberta,-13,1
Alberta,-16,1
Alberta,-13,1
Alberta,-15,1
Alberta,-15,1
Alberta,-13,1
Alberta,-13,1
Alberta,-14,1
Alberta,-13,1
Alberta,-16,1
Alberta,,1
Alberta,-15,1
Alberta,-15,1
Alberta,-9,1
Alberta,-17,1
Alberta,-12,1
Alberta,-16,1
Alberta,-13,1
Alberta,-13,1
Alberta,-13,1
Alberta,-12,1
Alberta,-14,1
Alberta,-12,1
Alberta,-11,1
Alberta,-12,1
Alberta,-12,1
Alberta,-11,1
Alberta,-12,1
Alberta,-13,1
Alberta,-13,1
Alberta,-12,1
Alberta,-13,1
Alberta,-12,1
Alberta,-14,1
Alberta,-11,1
Alberta,-13,1
Alberta,-13,1
Alberta,-14,1
Alberta,-13,1
Alberta,-11,1
Alberta,-13,1
Alberta,-11,1
Alberta,-12,1
Alberta,-11,1
Alberta,-14,1
Alberta,-14,1
Alberta,-14,1
Alberta,,1
Alberta,-15,1
Alberta,-9,1
Alberta,-12,1
Alberta,-14,1
Alberta,-13,1
Alberta,-12,1
Alberta,-12,1
Alberta,-12,1
Alberta,-7,1
Alberta,-8,1
Alberta,-7,1
Alberta,-7,1
Alberta,-12,1
Alberta,-11,1
Alberta,-10,1
Alberta,-7,1
Alberta,-8,1
Alberta,-8,1
Alberta,-7,1
Alberta,-9,1
Alberta,-8,1
Alberta,-8,1
Alberta,-9,1
Alberta,-11,1
Alberta,-6,1
Alberta,-6,1
Alberta,-9,1
Alberta,-7,1
Alberta,-8,1
Alberta,-9,1
Alberta,-7,1
Alberta,-8,1
Alberta,-7,1
Alberta,-11,1
Alberta,-8,1
Alberta,-7,1
Alberta,-8,1
Alberta,-7,1
Alberta,-11,1
Alberta,-9,1
Alberta,-7,1
Alberta,-7,1
Alberta,-6,1
Alberta,,1
Alberta,-6,1
Alberta,-8,1
Alberta,-8,1
Alberta,-10,1
Alberta,-9,1
Alberta,-6,1
Alberta,-7,1
Alberta,-9,1
Alberta,-10,1
Alberta,-9,1
Alberta,-9,1
Alberta,-7,1
Alberta,-9,1
Alberta,-12,1
Alberta,-8,1
Alberta,-10,1
Alberta,-9,1
Alberta,-7,1
Alberta,-10,1
Alberta,-8,1
Alberta,-11,1
Alberta,-8,1
Alberta,-8,1
Alberta,-7,1
Alberta,-9,1
Alberta,,1
Alberta,-7,1
Alberta,-11,1
Alberta,-7,1
Alberta,-5,1
Alberta,-9,1
Alberta,-7,1
Alberta,-7,1
Alberta,-7,1
Alberta,-9,1
Alberta,-6,1
Alberta,-7,1
Alberta,-6,1
Alberta,-11,1
Alberta,-7,1
Alberta,-10,1
Alberta,-8,1
Alberta,-6,1
Alberta,-14,1
Alberta,-11,1
Alberta,-15,1
Alberta,-17,1
Alberta,-17,1
Alberta,-12,1
Alberta,-17,1
Alberta,-14,1
Alberta,-17,1
Alberta,-14,1
Alberta,-14,1
Alberta,-12,1
Alberta,-16,1
Alberta,-16,1
Alberta,-17,1
Alberta,-17,1
Alberta,-14,1
Alberta,-17,1
Alberta,-16,1
Alberta,-14,1
Alberta,-16,1
Alberta,-16,1
Alberta,-15,1
Alberta,-17,1
Alberta,-14,1
Alberta,-16,1
Alberta,-16,1
Alberta,-16,1
Alberta,-14,1
Alberta,-17,1
Alberta,-14,1
Alberta,-17,1
Alberta,-16,1
Alberta,-16,1
Alberta,-16,1
Alberta,-11,1
Alberta,-17,1
Alberta,-19,1
Alberta,-19,1
Alberta,-20,1
Alberta,-17,1
Alberta,-18,1
Alberta,-20,1
Alberta,-20,1
Alberta,-15,1
Alberta,-19,1
Alberta,-19,1
Alberta,-17,1
Alberta,-19,1
Alberta,-17,1
Alberta,-17,1
Alberta,-17,1
Alberta,-16,1
Alberta,-20,1
Alberta,-16,1
Alberta,-16,1
Alberta,-9,1
Alberta,-17,1
Alberta,-18,1
Alberta,-14,1
Alberta,-15,1
Alberta,-16,1
Saskatchewan,-13,1
Saskatchewan,-13,1
Saskatchewan,-11,1
Saskatchewan,-14,1
Saskatchewan,-12,1
Saskatchewan,-12,1
Saskatchewan,-13,1
Saskatchewan,-14,1
Saskatchewan,-13,1
Saskatchewan,-14,1
Saskatchewan,-13,1
Saskatchewan,-14,1
Saskatchewan,-13,1
Saskatchewan,-11,1
Saskatchewan,-14,1
Saskatchewan,-13,1
Saskatchewan,-12,1
Saskatchewan,-13,1
Saskatchewan,-13,1
Saskatchewan,-14,1
Saskatchewan,-12,1
Saskatchewan,-14,1
Saskatchewan,-14,1
Saskatchewan,-13,1
Saskatchewan,-13,1
Saskatchewan,-11,1
Saskatchewan,-12,1
Saskatchewan,-13,1
Saskatchewan,-13,1
Saskatchewan,-12,1
Saskatchewan,-7,1
Saskatchewan,-12,1
Saskatchewan,-12,1
Saskatchewan,-11,1
Saskatchewan,-11,1
Saskatchewan,-12,1
Saskatchewan,-12,1
Saskatchewan,-9,1
Saskatchewan,-11,1
Saskatchewan,-12,1
Saskatchewan,-11,1
Saskatchewan,-12,1
Saskatchewan,-13,1
Saskatchewan,-16,1
Saskatchewan,-14,1
Saskatchewan,-14,1
Saskatchewan,-15,1
Saskatchewan,-14,1
Saskatchewan,-14,1
Saskatchewan,-15,1
Saskatchewan,-14,1
Saskatchewan,-16,1
Saskatchewan,-14,1
Saskatchewan,-12,1
Saskatchewan,-14,1
Saskatchewan,-16,1
Saskatchewan,-16,1
Saskatchewan,-14,1
Saskatchewan,-14,1
Saskatchewan,-16,1
Saskatchewan,-16,1
Saskatchewan,-22,1
Saskatchewan,-20,1
Saskatchewan,-20,1
Saskatchewan,-17,1
Saskatchewan,-16,1
Saskatchewan,-19,1
Saskatchewan,-19,1
Saskatchewan,-16,1
Saskatchewan,-16,1
Saskatchewan,-15,1
Saskatchewan,-16,1
Saskatchewan,-17,1
Saskatchewan,-16,1
Saskatchewan,-21,1
Saskatchewan,-14,1
Saskatchewan,-16,1
Saskatchewan,-21,1
Saskatchewan,-15,1
Saskatchewan,-15,1
Saskatchewan,-14,1
Manitoba,-12,1
Manitoba,-14,1
Manitoba,-14,1
Manitoba,-13,1
Manitoba,-13,1
Manitoba,-14,1
Manitoba,,1
Manitoba,,1
Manitoba,-12,1
Manitoba,-16,1
Manitoba,-14,1
Manitoba,-13,1
Manitoba,-14,1
Manitoba,-13,1
Manitoba,,1
Manitoba,,1
Manitoba,,1
Manitoba,-12,1
Manitoba,-12,1
Manitoba,,1
Manitoba,-12,1
Manitoba,-12,1
Manitoba,-12,1
Manitoba,,1
Manitoba,-13,1
Manitoba,,1
Manitoba,,1
Manitoba,-12,1
Manitoba,-12,1
Manitoba,,1
Manitoba,-12,1
Manitoba,-11,1
Manitoba,-12,1
Manitoba,-12,1
Manitoba,-15,1
Manitoba,-15,1
Manitoba,-14,1
Manitoba,-14,1
Manitoba,-13,1
Manitoba,-14,1
Manitoba,-12,1
Manitoba,-15,1
Manitoba,-12,1
Manitoba,-15,1
Manitoba,,1
Manitoba,-16,1
Manitoba,-12,1
Manitoba,-13,1
Manitoba,,1
Manitoba,-14,1
Manitoba,-14,1
Manitoba,-14,1
Manitoba,-13,1
Manitoba,-13,1
Manitoba,-13,1
Manitoba,-14,1
Manitoba,-16,1
Manitoba,-16,1
Manitoba,-16,1
Manitoba,-16,1
Manitoba,-14,1
Manitoba,-21,1
Manitoba,-21,1
Manitoba,-14,1
Manitoba,-19,1
Manitoba,-23,1
Manitoba,-19,1
Manitoba,-17,1
Manitoba,-22,1
Manitoba,-19,1
Manitoba,-19,1
Manitoba,-17,1
Manitoba,-21,1
Manitoba,-28,1
Manitoba,-19,1
Ontario,-17,1
Ontario,-18,1
Ontario,-18,1
Ontario,-12,1
Ontario,-19,1
Ontario,-17,1
Ontario,-17,1
Ontario,,1
Ontario,-19,1
Ontario,-19,1
Ontario,-14,1
Ontario,-15,1
Ontario,-14,1
Ontario,-17,1
Ontario,-11,1
Ontario,-12,1
Ontario,-12,1
Ontario,-12,1
Ontario,-13,1
Ontario,-12,1
Ontario,-12,1
Ontario,-13,1
Ontario,-12,1
Ontario,-13,1
Ontario,-13,1
Ontario,-14,1
Ontario,-16,1
Ontario,-11,1
Ontario,-3,1
Ontario,-13,1
Ontario,-13,1
Ontario,-13,1
Ontario,,1
Ontario,-10,1
Ontario,-9,1
Ontario,-9,1
Ontario,-9,1
Ontario,-11,1
Ontario,-9,1
Ontario,-12,1
Ontario,-7,1
Ontario,-9,1
Ontario,-5,1
Ontario,-4,1
Ontario,-9,1
Ontario,-4,1
Ontario,-10,1
Ontario,-6,1
Ontario,-7,1
Ontario,-8,1
Ontario,-8,1
Ontario,-13,1
Ontario,-10,1
Ontario,-11,1
Ontario,-13,1
Ontario,-13,1
Ontario,-13,1
Ontario,-12,1
Ontario,-14,1
Ontario,-8,1
Ontario,-14,1
Ontario,-12,1
Ontario,-16,1
Ontario,-12,1
Ontario,-12,1
Ontario,-8,1
Ontario,-9,1
Ontario,-8,1
Ontario,-5,1
Ontario,-4,1
Ontario,-2,1
Ontario,-6,1
Ontario,-6,1
Ontario,-4,1
Ontario,-8,1
Ontario,-4,1
Ontario,-6,1
Ontario,-3,1
Ontario,-4,1
Ontario,-6,1
Ontario,-3,1
Ontario,-3,1
Ontario,-2,1
Ontario,-6,1
Ontario,-7,1
Ontario,-6,1
Ontario,-6,1
Ontario,-7,1
Ontario,-8,1
Ontario,-9,1
Ontario,-7,1
Ontario,-7,1
Ontario,-3,1
Ontario,-6,1
Ontario,-7,1
Ontario,-4,1
Ontario,-2,1
Ontario,-4,1
Ontario,-4,1
Ontario,-7,1
Ontario,-4,1
Ontario,-4,1
Ontario,-4,1
Ontario,-5,1
Ontario,,1
Ontario,,1
Ontario,-4,1
Ontario,-3,1
Ontario,-3,1
Ontario,-2,1
Ontario,-3,1
Ontario,-3,1
Ontario,-2,1
Ontario,-1,1
Ontario,-2,1
Ontario,0,1
Ontario,0,1
Ontario,-3,1
Ontario,,1
Ontario,-17,1
Ontario,0,1
Ontario,-1,1
Ontario,-17,1
Ontario,-1,1
Ontario,,1
Ontario,-1,1
Ontario,,1
Ontario,-1,1
Ontario,1,1
Ontario,,1
Ontario,-1,1
Ontario,,1
Ontario,-1,1
Ontario,,1
Ontario,-17,1
Ontario,-1,1
Ontario,1,1
Ontario,0,1
Ontario,1,1
Ontario,1,1
Ontario,,1
Ontario,-2,1
Ontario,-3,1
Ontario,-4,1
Ontario,-3,1
Ontario,-3,1
Ontario,-2,1
Ontario,-2,1
Ontario,-1,1
Ontario,-3,1
Ontario,-2,1
Ontario,-1,1
Ontario,-10,1
Ontario,-3,1
Ontario,,1
Ontario,-4,1
Ontario,-2,1
Ontario,-5,1
Ontario,-3,1
Ontario,-2,1
Ontario,-3,1
Ontario,-1,1
Ontario,-3,1
Ontario,-1,1
Ontario,-2,1
Ontario,-1,1
Ontario,-1,1
Ontario,-2,1
Ontario,-2,1
Ontario,-3,1
Ontario,-3,1
Ontario,-4,1
Ontario,-2,1
Ontario,-7,1
Ontario,-4,1
Ontario,-5,1
Ontario,,1
Ontario,,1
Ontario,-8,1
Quebec,-9,1
Quebec,-7,1
Quebec,-13,1
Quebec,-8,1
Quebec,-8,1
Quebec,,1
Quebec,-9,1
Quebec,-7,1
Quebec,-9,1
Quebec,-11,1
Quebec,-8,1
Quebec,-9,1
Quebec,-9,1
Quebec,-5,1
Quebec,-6,1
Quebec,-7,1
Quebec,-7,1
Quebec,-5,1
Quebec,-6,1
Quebec,-8,1
Quebec,-6,1
Quebec,-7,1
Quebec,-8,1
Quebec,-6,1
Quebec,-9,1
Quebec,-8,1
Quebec,-7,1
Quebec,-6,1
Quebec,-5,1
Quebec,-7,1
Quebec,-6,1
Quebec,-7,1
Quebec,-8,1
Quebec,-8,1
Quebec,-7,1
Quebec,-8,1
Quebec,-11,1
Quebec,-11,1
Quebec,-12,1
Quebec,-12,1
Quebec,-9,1
Quebec,-12,1
Quebec,-12,1
Quebec,-7,1
Quebec,-12,1
Quebec,-11,1
Quebec,-13,1
Quebec,-9,1
Quebec,-7,1
Quebec,-13,1
Quebec,,1
Quebec,-13,1
Quebec,-13,1
Quebec,-7,1
Quebec,-14,1
Quebec,-13,1
Quebec,-19,1
Quebec,-10,1
Quebec,-12,1
Quebec,-8,1
Quebec,-13,1
Quebec,-10,1
Quebec,-10,1
Quebec,-10,1
Quebec,-8,1
Quebec,-4,1
Quebec,-4,1
Quebec,-8,1
Quebec,-9,1
Quebec,-9,1
Quebec,-8,1
Quebec,-10,1
Quebec,-8,1
Quebec,-11,1
Quebec,-9,1
Quebec,,1
Quebec,,1
Quebec,,1
Quebec,-9,1
Quebec,-12,1
Quebec,-17,1
Quebec,-15,1
Quebec,,1
Quebec,-11,1
Quebec,-12,1
Quebec,-16,1
Quebec,-14,1
Quebec,-13,1
Quebec,-13,1
Quebec,-13,1
Quebec,,1
Quebec,,1
Quebec,-17,1
Quebec,-17,1
Quebec,-12,1
Quebec,-12,1
Quebec,,1
Quebec,-11,1
Quebec,-12,1
Quebec,-7,1
Quebec,,1
Quebec,-11,1
Quebec,-12,1
Quebec,-15,1
Quebec,-16,1
Quebec,-16,1
Quebec,-13,1
Quebec,-19,1
Quebec,-18,1
Quebec,-18,1
Quebec,-14,1
Quebec,-14,1
Quebec,,1
Quebec,-12,1
Quebec,-12,1
Quebec,-14,1
Quebec,-17,1
Quebec,,1
Quebec,-23,1
Quebec,-21,1
Quebec,-22,1
Quebec,-17,1
Quebec,-16,1
Quebec,-24,1
Quebec,,1
Quebec,-21,1
Quebec,-23,1
Quebec,-21,1
Quebec,-24,1
Quebec,-19,1
Quebec,-22,1
Quebec,-28,1
Quebec,-20,1
Quebec,-23,1
Quebec,-23,1
Quebec,-23,1
Quebec,-21,1
Quebec,-22,1
Quebec,-22,1
New Brunswick,-9,1
New Brunswick,-8,1
New Brunswick,,1
New Brunswick,-9,1
New Brunswick,-7,1
New Brunswick,-9,1
New Brunswick,-8,1
New Brunswick,-8,1
New Brunswick,-11,1
New Brunswick,-7,1
New Brunswick,-7,1
New Brunswick,-6,1
New Brunswick,-3,1
New Brunswick,-7,1
New Brunswick,-12,1
New Brunswick,-7,1
New Brunswick,-7,1
New Brunswick,-6,1
New Brunswick,-6,1
New Brunswick,-6,1
New Brunswick,-3,1
New Brunswick,-9,1
New Brunswick,-5,1
New Brunswick,-6,1
New Brunswick,-8,1
New Brunswick,-8,1
Nova Scotia,,1
Nova Scotia,-2,1
Nova Scotia,-2,1
Nova Scotia,-4,1
Nova Scotia,-17,1
Nova Scotia,-7,1
Nova Scotia,-3,1
Nova Scotia,-6,1
Nova Scotia,-6,1
Nova Scotia,-3,1
Nova Scotia,-3,1
Nova Scotia,-3,1
Nova Scotia,-4,1
Nova Scotia,-2,1
Nova Scotia,-4,1
Nova Scotia,-4,1
Nova Scotia,-3,1
Nova Scotia,-3,1
Nova Scotia,-2,1
Nova Scotia,-4,1
Nova Scotia,-3,1
Nova Scotia,-3,1
Nova Scotia,,1
Nova Scotia,-3,1
Nova Scotia,-1,1
Nova Scotia,-4,1
Nova Scotia,-2,1
Nova Scotia,-5,1
Nova Scotia,-5,1
Nova Scotia,-6,1
Nova Scotia,-4,1
Nova Scotia,-5,1
Nova Scotia,-4,1
Nova Scotia,1,1
Nova Scotia,1,1
Nova Scotia,-3,1
Nova Scotia,-3,1
Nova Scotia,-2,1
Nova Scotia,-2,1
Nova Scotia,-2,1
Nova Scotia,-5,1
Nova Scotia,-4,1
Nova Scotia,-4,1
Nova Scotia,-5,1
Nova Scotia,-4,1
Nova Scotia,-3,1
Nova Scotia,-2,1
Nova Scotia,,1
Nova Scotia,-1,1
Nova Scotia,-1,1
Nova Scotia,-1,1
Prince Edward Island,-6,1
Prince Edward Island,-4,1
Prince Edward Island,-6,1
Prince Edward Island,-5,1
Prince Edward Island,-5,1
Prince Edward Island,-5,1
Prince Edward Island,-6,1
Prince Edward Island,-4,1
Prince Edward Island,-6,1
Newfoundland and Labrador,-7,1
Newfoundland and Labrador,-4,1
Newfoundland and Labrador,-5,1
Newfoundland and Labrador,-9,1
Newfoundland and Labrador,-3,1
Newfoundland and Labrador,-8,1
Newfoundland and Labrador,-6,1
Newfoundland and Labrador,-6,1
Newfoundland and Labrador,-7,1
Newfoundland and Labrador,-7,1
Newfoundland and Labrador,-8,1
Newfoundland and Labrador,-8,1
Newfoundland and Labrador,-8,1
Newfoundland and Labrador,-7,1
Newfoundland and Labrador,-7,1
Newfoundland and Labrador,-3,1
Newfoundland and Labrador,-8,1
Newfoundland and Labrador,-7,1
Newfoundland and Labrador,-9,1
Newfoundland and Labrador,-4,1
Newfoundland and Labrador,,1
Newfoundland and Labrador,-11,1
Newfoundland and Labrador,-11,1
Newfoundland and Labrador,-4,1
Newfoundland and Labrador,-5,1
Newfoundland and Labrador,-4,1
Newfoundland and Labrador,-8,1
Newfoundland and Labrador,-6,1
Newfoundland and Labrador,-6,1
Newfoundland and Labrador,-7,1
Newfoundland and Labrador,-6,1
Newfoundland and Labrador,-5,1
Newfoundland and Labrador,-4,1
Newfoundland and Labrador,-3,1
Newfoundland and Labrador,-5,1
Newfoundland and Labrador,-14,1
Newfoundland and Labrador,-21,1
Newfoundland and Labrador,-21,1
Newfoundland and Labrador,-16,1
Newfoundland and Labrador,-16,1
Newfoundland and Labrador,-16,1
Newfoundland and Labrador,-13,1
Newfoundland and Labrador,-17,1
Newfoundland and Labrador,-17,1
Newfoundland and Labrador,-19,1
Newfoundland and Labrador,-21,1
British Columbia,5,2
British Columbia,3,2
British Columbia,6,2
British Columbia,6,2
British Columbia,6,2
British Columbia,3,2
British Columbia,,2
British Columbia,,2
British Columbia,4,2
British Columbia,5,2
British Columbia,4,2
British Columbia,6,2
British Columbia,5,2
British Columbia,5,2
British Columbia,6,2
British Columbia,,2
British Columbia,4,2
British Columbia,6,2
British Columbia,4,2
British Columbia,6,2
British Columbia,5,2
British Columbia,6,2
British Columbia,4,2
British Columbia,6,2
British Columbia,6,2
British Columbia,3,2
British Columbia,2,2
British Columbia,4,2
British Columbia,4,2
